timestamp,wallets,tokens,decided_tokens,token_fail_pct,base_fail_pct,max_graded_per_wallet,wallets_with_2plus
2026-08-05 09:27,1215,28,8,50.0,85.0,2,2
2026-08-05 10:29,1855,40,10,60.0,85.5,3,6
2026-08-05 11:41,2450,49,14,71.4,84.9,3,9
2026-08-05 12:41,3046,60,19,73.7,85.0,4,15
2026-08-05 13:42,3711,67,24,70.8,85.3,4,25
2026-08-05 14:54,4304,75,29,65.5,85.2,5,31
2026-08-05 16:05,4977,90,33,63.6,85.5,5,31
2026-08-05 17:18,5643,105,39,64.1,85.8,6,32
2026-08-05 18:30,6389,122,50,68.0,87.6,8,39
2026-08-05 19:30,7090,136,56,69.6,89.3,8,55
